Country,Composite_Score,Health,Ecosystems,Waste,Climate,Rank
Samoa,0.9184562107236691,-0.048460780503958356,0.33316319968749575,2.8148927203339453,0.5742297033771935,1
Iceland,0.8775609859794935,1.8290496670731364,0.637307719983222,2.501816625125027,-1.4579300682634118,2
Greenland,0.8133861081851633,0.7387193954642931,1.5042351431955803,1.1695104705487673,-0.1589205764679874,3
Benin,0.7448194522801537,-1.0167210254223564,0.17696351916713046,2.3893726927278163,1.4296626226480245,4
"Korea, Rep.",0.7418117045736012,1.2461035178894806,0.1623207384654453,2.9369065090482844,-1.3780839471088047,5
Liechtenstein,0.6795054098253034,0.2984870212661572,0.39558831529998406,2.222497677257835,-0.19855137452276292,6
Sweden,0.6746211080856592,1.8317632994071413,0.022581270548872656,1.3482029937918258,-0.5040631314052028,7
Germany,0.6318785581228721,1.4817784934250764,0.2176062792263041,1.8673057858256246,-1.0391763259855167,8
Sao Tome and Principe,0.5964139673543012,-0.6341485001154238,1.2872637611469524,-0.12970951593989508,1.8622501243255714,9
Singapore,0.5337295766654976,1.3392187887797686,-0.10752628453936694,2.04629171308167,-1.1430659106600811,10
