Country,Composite_Score,Health,Ecosystems,Waste,Climate,Rank
"Korea, Rep.",0.7418117045736012,1.2461035178894806,0.1623207384654453,2.9369065090482844,-1.3780839471088047,5
Samoa,0.9184562107236691,-0.048460780503958356,0.33316319968749575,2.8148927203339453,0.5742297033771935,1
Iceland,0.8775609859794935,1.8290496670731364,0.637307719983222,2.501816625125027,-1.4579300682634118,2
Benin,0.7448194522801537,-1.0167210254223564,0.17696351916713046,2.3893726927278163,1.4296626226480245,4
Vanuatu,0.5173113292355844,-0.6571811280913228,-0.2428854288753757,2.3386560195158,0.6306558543932362,12
Liechtenstein,0.6795054098253034,0.2984870212661572,0.39558831529998406,2.222497677257835,-0.19855137452276292,6
Australia,0.4532350745828514,1.5368958608163228,0.20333037905167933,2.091749201643939,-2.0190351431805356,19
Singapore,0.5337295766654976,1.3392187887797686,-0.10752628453936694,2.04629171308167,-1.1430659106600811,10
Germany,0.6318785581228721,1.4817784934250764,0.2176062792263041,1.8673057858256246,-1.0391763259855167,8
Marshall Islands,0.339490547053221,-0.33869368242195375,-0.4102710317311846,1.6631631890452578,0.4437637133207645,32
